Order Number,CITY,Billing Address Province,Customer Id,Invoice Date,Product Type,Quantity,Subtotal Price,Total Price Usd,Total Tax
4104,MIAMI,Florida,3640,2025-03-21 23:00:00,Walking Shoes,1,595.13,654.643,59.513
2985,ALBUQUERQUE,New Mexico,2361,2025-03-20 20:33:00,Walking Shoes,1,595.13,654.643,59.513
1817,SPRING,Texas,3701,2025-03-19 19:07:00,Tennis Shoes,1,527.13,579.843,52.713
2190,BRADENTON,Florida,757,2025-03-20 10:07:00,Tennis Shoes,1,527.13,579.843,52.713
2457,MEMPHIS,Tennessee,5602,2025-03-20 13:46:00,Tennis Shoes,1,509.53,560.483,50.953
3524,GARY,Indiana,2796,2025-03-21 13:20:00,Tennis Shoes,1,509.53,560.483,50.953
6892,BROOKLYN,New York,5467,2025-03-24 14:27:00,Tennis Shoes,1,587.93,646.723,58.793
6494,STOCKTON,California,5044,2025-03-24 10:11:00,Tennis Shoes,1,527.13,579.843,52.713
173,NEW ORLEANS,Louisiana,3353,2025-03-18 10:26:00,Tennis Shoes,1,736.73,810.403,73.673
5285,PITTSBURGH,Pennsylvania,1005,2025-03-23 00:04:00,Tennis Shoes,1,527.13,579.843,52.713
1134,KATY,Texas,1652,2025-03-19 10:39:00,Tennis Shoes,1,579.93,637.923,57.993
2377,TEXARKANA,Texas,2011,2025-03-20 12:35:00,Tennis Shoes,1,509.53,560.483,50.953
4959,MIAMI,Florida,956,2025-03-22 17:54:00,Tennis Shoes,1,782.63,860.893,78.263
1069,TAMPA,Florida,5711,2025-03-19 09:48:00,Tennis Shoes,1,527.13,579.843,52.713
5011,HUNTSVILLE,Alabama,2210,2025-03-22 18:48:00,Tennis Shoes,1,625.13,687.643,62.513
1871,CHATTANOOGA,Tennessee,1244,2025-03-19 20:00:00,Tennis Shoes,1,658.33,724.163,65.833
5769,LAS VEGAS,Nevada,4885,2025-03-23 15:38:00,Tennis Shoes,1,587.93,646.723,58.793
5916,READING,Pennsylvania,6335,2025-03-23 18:05:00,Tennis Shoes,1,509.53,560.483,50.953
6570,ANNISTON,Alabama,6162,2025-03-24 10:58:00,Tennis Shoes,1,610.33,671.363,61.033
1671,LONG BEACH,California,4057,2025-03-19 17:11:00,Tennis Shoes,1,569.13,626.043,56.913
7104,CORPUS CHRISTI,Texas,3910,2025-03-24 17:37:00,Tennis Shoes,1,1064.73,1171.203,106.473
1155,WASHINGTON,District of Columbia,2121,2025-03-19 10:56:00,Tennis Shoes,1,658.33,724.163,65.833
2832,RICHMOND,Virginia,1948,2025-03-20 18:24:00,Tennis Shoes,1,509.53,560.483,50.953
3705,HOUSTON,Texas,2376,2025-03-21 16:00:00,Tennis Shoes,1,579.93,637.923,57.993
4406,PITTSBURGH,Pennsylvania,5658,2025-03-22 10:30:00,Tennis Shoes,1,648.73,713.603,64.873
5289,BALTIMORE,Maryland,4797,2025-03-23 00:12:00,Tennis Shoes,1,652.13,717.343,65.213
7235,DES MOINES,Iowa,5552,2025-03-24 19:38:00,Tennis Shoes,1,625.13,687.643,62.513
937,BALTIMORE,Maryland,4153,2025-03-18 23:49:00,Tennis Shoes,1,527.13,579.843,52.713
1538,HOUSTON,Texas,1698,2025-03-19 15:46:00,Tennis Shoes,1,527.13,579.843,52.713
1584,SANTA CRUZ,California,3637,2025-03-19 16:18:00,Tennis Shoes,1,585.13,643.643,58.513
1837,PORTLAND,Oregon,1294,2025-03-19 19:23:00,Tennis Shoes,1,674.13,741.543,67.413
2603,MADISON,Wisconsin,1842,2025-03-20 15:28:00,Tennis Shoes,1,615.13,676.643,61.513
3914,GRAND RAPIDS,Michigan,6441,2025-03-21 19:19:00,Tennis Shoes,1,909.13,1000.043,90.913
5809,KANSAS CITY,Missouri,1911,2025-03-23 16:18:00,Cycling Shoes,1,527.13,579.843,52.713
580,TORRANCE,California,6313,2025-03-18 15:57:00,Cycling Shoes,1,579.93,637.923,57.993
2380,WASHINGTON,District of Columbia,3297,2025-03-20 12:38:00,Cycling Shoes,1,509.53,560.483,50.953
4379,LAFAYETTE,Louisiana,170,2025-03-22 10:14:00,Cycling Shoes,1,509.53,560.483,50.953
892,TOPEKA,Kansas,1457,2025-03-18 22:16:00,Cycling Shoes,1,509.53,560.483,50.953
5007,BIRMINGHAM,Alabama,3970,2025-03-22 18:44:00,Cycling Shoes,1,509.53,560.483,50.953
7343,SCRANTON,Pennsylvania,4456,2025-03-24 21:48:00,Cycling Shoes,1,504.13,554.543,50.413
4074,LINCOLN,Nebraska,5257,2025-03-21 22:25:00,Cycling Shoes,1,527.13,579.843,52.713
6432,DALLAS,Texas,4481,2025-03-24 09:36:00,Cycling Shoes,1,615.13,676.643,61.513
6532,VANCOUVER,Washington,5114,2025-03-24 10:34:00,Cycling Shoes,1,615.13,676.643,61.513
958,SAN FRANCISCO,California,1627,2025-03-19 00:49:00,Cycling Shoes,1,509.53,560.483,50.953
3647,NEW ORLEANS,Louisiana,6034,2025-03-21 15:09:00,Cycling Shoes,1,439.13,483.043,43.913
88,ALBANY,Georgia,2772,2025-03-18 09:00:00,Cycling Shoes,1,509.53,560.483,50.953
101,AKRON,Ohio,4345,2025-03-18 09:11:00,Cycling Shoes,1,509.53,560.483,50.953
2741,NASHVILLE,Tennessee,4552,2025-03-20 17:22:00,Walking Shoes,1,509.53,560.483,50.953
921,BOSTON,Massachusetts,176,2025-03-18 23:12:00,Walking Shoes,1,869.13,956.043,86.913
4562,STOCKTON,California,4270,2025-03-22 12:17:00,Walking Shoes,1,439.13,483.043,43.913
5076,SAVANNAH,Georgia,1192,2025-03-22 19:41:00,Walking Shoes,1,484.13,532.543,48.413
1239,WINSTON SALEM,North Carolina,3587,2025-03-19 11:54:00,Walking Shoes,1,613.13,674.443,61.313
6485,HOUSTON,Texas,4592,2025-03-24 10:08:00,Walking Shoes,1,485.53,534.083,48.553
5760,SAN JOSE,California,406,2025-03-23 15:30:00,Walking Shoes,1,537.13,590.843,53.713
3003,COLUMBUS,Ohio,3037,2025-03-20 20:51:00,Walking Shoes,1,490.13,539.143,49.013
4588,AURORA,Colorado,997,2025-03-22 12:36:00,Walking Shoes,1,497.13,546.843,49.713
6710,TOPEKA,Kansas,4485,2025-03-24 12:22:00,Walking Shoes,1,497.13,546.843,49.713
6498,SCHENECTADY,New York,3528,2025-03-24 10:13:00,Walking Shoes,1,915.93,1007.523,91.593
6857,SAGINAW,Michigan,4378,2025-03-24 14:06:00,Walking Shoes,1,541.13,595.243,54.113
7096,WASHINGTON,District of Columbia,2967,2025-03-24 17:30:00,Walking Shoes,1,482.63,530.893,48.263
1201,PORTLAND,Oregon,4441,2025-03-19 11:31:00,Walking Shoes,1,497.13,546.843,49.713
3793,KINGSPORT,Tennessee,5640,2025-03-21 17:17:00,Walking Shoes,1,497.13,546.843,49.713
5278,DES MOINES,Iowa,2254,2025-03-22 23:48:00,Walking Shoes,1,497.13,546.843,49.713
5432,SAN DIEGO,California,577,2025-03-23 10:01:00,Walking Shoes,1,497.13,546.843,49.713
6034,DENVER,Colorado,4310,2025-03-23 20:23:00,Walking Shoes,1,555.13,610.643,55.513
6502,SEATTLE,Washington,4381,2025-03-24 10:14:00,Walking Shoes,1,497.13,546.843,49.713
6813,NEW YORK CITY,New York,5122,2025-03-24 13:42:00,Walking Shoes,1,613.13,674.443,61.313
1122,BATTLE CREEK,Michigan,2860,2025-03-19 10:29:00,Walking Shoes,1,664.73,731.203,66.473
1805,RICHMOND,Virginia,3008,2025-03-19 19:00:00,Walking Shoes,1,671.13,738.243,67.113
5153,CLEVELAND,Ohio,5934,2025-03-22 20:49:00,Walking Shoes,1,485.53,534.083,48.553
5787,CHARLESTON,West Virginia,4409,2025-03-23 16:00:00,Walking Shoes,1,526.13,578.743,52.613
5906,HOUSTON,Texas,5816,2025-03-23 17:51:00,Walking Shoes,1,548.63,603.493,54.863
5694,FRESNO,California,4432,2025-03-23 14:34:00,Walking Shoes,1,490.13,539.143,49.013
5597,MUSKEGON,Michigan,1854,2025-03-23 12:56:00,Walking Shoes,1,1041.13,1145.243,104.113
6883,ATLANTA,Georgia,3924,2025-03-24 14:23:00,Walking Shoes,1,531.93,585.123,53.193
7144,MINNEAPOLIS,Minnesota,4327,2025-03-24 18:14:00,Walking Shoes,1,497.13,546.843,49.713
7233,LUBBOCK,Texas,499,2025-03-24 19:37:00,Walking Shoes,1,613.13,674.443,61.313
7346,TERRE HAUTE,Indiana,435,2025-03-24 21:50:00,Walking Shoes,1,613.13,674.443,61.313
5023,SYRACUSE,New York,4133,2025-03-22 19:00:00,Walking Shoes,1,717.53,789.283,71.753
1342,OMAHA,Nebraska,1627,2025-03-19 13:06:00,Walking Shoes,1,729.13,802.043,72.913
2524,MIAMI,Florida,5435,2025-03-20 14:38:00,Walking Shoes,1,497.13,546.843,49.713
5444,SEATTLE,Washington,3367,2025-03-23 10:09:00,Walking Shoes,1,485.53,534.083,48.553
6439,MAPLE PLAIN,Minnesota,2529,2025-03-24 09:40:00,Walking Shoes,1,547.93,602.723,54.793
7218,SAN DIEGO,California,2242,2025-03-24 19:26:00,Walking Shoes,1,671.13,738.243,67.113
7350,FORT LAUDERDALE,Florida,4763,2025-03-24 21:55:00,Cycling Shoes,1,497.13,546.843,49.713
4481,SACRAMENTO,California,2564,2025-03-22 11:19:00,Walking Shoes,1,624.73,687.203,62.473
5763,NEW YORK CITY,New York,5392,2025-03-23 15:32:00,Walking Shoes,1,531.93,585.123,53.193
648,NEW YORK CITY,New York,1871,2025-03-18 16:51:00,Walking Shoes,1,490.13,539.143,49.013
2466,NAPLES,Florida,6224,2025-03-20 13:50:00,Walking Shoes,1,485.53,534.083,48.553
1559,TRENTON,New Jersey,1063,2025-03-19 16:01:00,Walking Shoes,1,497.13,546.843,49.713
5440,WEST HARTFORD,Connecticut,4500,2025-03-23 10:06:00,Walking Shoes,1,497.13,546.843,49.713
1042,JACKSONVILLE,Florida,1913,2025-03-19 09:17:00,Walking Shoes,1,490.13,539.143,49.013
6935,AUSTIN,Texas,462,2025-03-24 15:11:00,Walking Shoes,1,671.13,738.243,67.113
2050,DALLAS,Texas,4901,2025-03-20 01:07:00,Walking Shoes,1,565.13,621.643,56.513
2946,FORT LAUDERDALE,Florida,1934,2025-03-20 19:55:00,Walking Shoes,1,497.13,546.843,49.713
5779,CHICAGO,Illinois,1220,2025-03-23 15:57:00,Walking Shoes,1,595.13,654.643,59.513
2311,TORRANCE,California,3788,2025-03-20 11:43:00,Walking Shoes,1,485.53,534.083,48.553
2399,SEATTLE,Washington,2591,2025-03-20 12:57:00,Walking Shoes,1,539.93,593.923,53.993
5857,ALPHARETTA,Georgia,5913,2025-03-23 17:06:00,Walking Shoes,1,505.53,556.083,50.553
4666,HUNTINGTON,West Virginia,6141,2025-03-22 13:35:00,Walking Shoes,1,749.53,824.483,74.953
3443,WASHINGTON,District of Columbia,257,2025-03-21 12:07:00,Walking Shoes,1,493.53,542.883,49.353
6162,ALBUQUERQUE,New Mexico,1761,2025-03-23 22:14:00,Walking Shoes,1,635.13,698.643,63.513
6547,RIVERSIDE,California,2318,2025-03-24 10:42:00,Cycling Shoes,1,723.13,795.443,72.313
6023,OMAHA,Nebraska,3127,2025-03-23 20:12:00,Cycling Shoes,1,517.53,569.283,51.753
6278,HOUSTON,Texas,5140,2025-03-24 06:54:00,Cycling Shoes,1,517.53,569.283,51.753
7004,PORTLAND,Oregon,3631,2025-03-24 16:09:00,Cycling Shoes,1,595.93,655.523,59.593
5759,STERLING,Virginia,2768,2025-03-23 15:28:00,Cycling Shoes,1,537.13,590.843,53.713
5899,PHOENIX,Arizona,4212,2025-03-23 17:45:00,Cycling Shoes,1,537.13,590.843,53.713
6143,PHOENIX,Arizona,2026,2025-03-23 21:57:00,Cycling Shoes,1,635.13,698.643,63.513
7318,TRENTON,New Jersey,5725,2025-03-24 21:06:00,Cycling Shoes,1,537.13,590.843,53.713
6916,WINSTON SALEM,North Carolina,3045,2025-03-24 14:54:00,Cycling Shoes,1,642.33,706.563,64.233
7363,MOBILE,Alabama,4189,2025-03-24 22:12:00,Cycling Shoes,1,650.33,715.363,65.033
2493,DETROIT,Michigan,33,2025-03-20 14:14:00,Cycling Shoes,1,498.13,547.943,49.813
6002,SOUTH BEND,Indiana,5837,2025-03-23 19:49:00,Cycling Shoes,1,527.13,579.843,52.713
5244,MOBILE,Alabama,808,2025-03-22 22:46:00,Cycling Shoes,1,498.13,547.943,49.813
3654,DETROIT,Michigan,1589,2025-03-21 15:16:00,Cycling Shoes,1,556.73,612.403,55.673
5449,WILKES BARRE,Pennsylvania,82,2025-03-23 10:17:00,Cycling Shoes,1,571.13,628.243,57.113
957,EL PASO,Texas,99,2025-03-19 00:43:00,Cycling Shoes,1,630.38,693.418,63.038
6742,SPRINGFIELD,Missouri,2386,2025-03-24 12:48:00,Cycling Shoes,1,527.13,579.843,52.713
6211,CEDAR RAPIDS,Iowa,3007,2025-03-23 23:30:00,Cycling Shoes,1,666.33,732.963,66.633
7258,KATY,Texas,5661,2025-03-24 20:07:00,Cycling Shoes,1,470.33,517.363,47.033
7382,PHILADELPHIA,Pennsylvania,1792,2025-03-24 22:35:00,Cycling Shoes,1,478.13,525.943,47.813
2124,SAN ANTONIO,Texas,1410,2025-03-20 09:09:00,Cycling Shoes,1,576.13,633.743,57.613
1627,YOUNG AMERICA,Minnesota,6126,2025-03-19 16:44:00,Cycling Shoes,2,557.13,612.843,55.713
5540,TRENTON,New Jersey,6343,2025-03-23 12:11:00,Cycling Shoes,1,596.13,655.743,59.613
6108,FRESNO,California,4708,2025-03-23 21:24:00,Cycling Shoes,1,654.13,719.543,65.413
6327,ROCHESTER,New York,6382,2025-03-24 08:21:00,Cycling Shoes,1,537.13,590.843,53.713
3849,FRESNO,California,1763,2025-03-21 18:26:00,Cycling Shoes,1,498.13,547.943,49.813
6730,JACKSONVILLE,Florida,5465,2025-03-24 12:39:00,Cycling Shoes,1,486.33,534.963,48.633
6924,GARDEN GROVE,California,448,2025-03-24 15:04:00,Cycling Shoes,1,594.13,653.543,59.413
2813,CLEARWATER,Florida,2005,2025-03-20 18:11:00,Cycling Shoes,1,702.13,772.343,70.213
243,HOUSTON,Texas,5248,2025-03-18 11:20:00,Cycling Shoes,1,566.13,622.743,56.613
748,SCOTTSDALE,Arizona,5187,2025-03-18 19:11:00,Cycling Shoes,1,547.13,601.843,54.713
2489,CLEARWATER,Florida,2529,2025-03-20 14:11:00,Cycling Shoes,1,498.13,547.943,49.813
2614,FRESNO,California,1903,2025-03-20 15:35:00,Cycling Shoes,1,576.13,633.743,57.613
4936,SACRAMENTO,California,225,2025-03-22 17:23:00,Cycling Shoes,1,586.13,644.743,58.613
2011,ROANOKE,Virginia,2484,2025-03-19 23:18:00,Cycling Shoes,1,703.13,773.443,70.313
2189,AKRON,Ohio,4122,2025-03-20 10:07:00,Cycling Shoes,1,625.13,687.643,62.513
2621,AMARILLO,Texas,946,2025-03-20 15:41:00,Cycling Shoes,1,674.13,741.543,67.413
2841,JACKSONVILLE,Florida,3,2025-03-20 18:32:00,Cycling Shoes,1,635.13,698.643,63.513
3122,FRESNO,California,1527,2025-03-20 22:40:00,Cycling Shoes,1,498.13,547.943,49.813
3251,SAN RAFAEL,California,1494,2025-03-21 08:43:00,Cycling Shoes,1,562.13,618.343,56.213
5603,TACOMA,Washington,2499,2025-03-23 13:03:00,Cycling Shoes,1,498.13,547.943,49.813
728,TULSA,Oklahoma,1761,2025-03-18 18:39:00,Cycling Shoes,1,603.13,663.443,60.313
929,ALBUQUERQUE,New Mexico,6218,2025-03-18 23:25:00,Cycling Shoes,1,540.73,594.803,54.073
3119,HOUSTON,Texas,1296,2025-03-20 22:36:00,Cycling Shoes,1,542.33,596.563,54.233
3772,TORRANCE,California,5724,2025-03-21 16:57:00,Cycling Shoes,1,486.33,534.963,48.633
4698,HAMILTON,Ohio,1126,2025-03-22 14:05:00,Cycling Shoes,1,704.73,775.203,70.473
219,SHREVEPORT,Louisiana,3642,2025-03-18 11:00:00,Cycling Shoes,1,526.13,578.743,52.613
6978,HIALEAH,Florida,626,2025-03-24 15:47:00,Cycling Shoes,1,525.53,578.083,52.553
7423,CARSON CITY,Nevada,4355,2025-03-24 23:43:00,Cycling Shoes,1,486.33,534.963,48.633
141,SACRAMENTO,California,5765,2025-03-18 10:05:00,Cycling Shoes,1,653.13,718.443,65.313
526,ALBANY,Georgia,3450,2025-03-18 15:03:00,Cycling Shoes,1,498.13,547.943,49.813
1261,CHICAGO,Illinois,3653,2025-03-19 12:09:00,Cycling Shoes,1,762.13,838.343,76.213
2867,LONG BEACH,California,2864,2025-03-20 18:50:00,Cycling Shoes,1,576.13,633.743,57.613
5717,STAMFORD,Connecticut,4960,2025-03-23 14:46:00,Cycling Shoes,1,498.13,547.943,49.813
1754,WASHINGTON,District of Columbia,135,2025-03-19 18:24:00,Cycling Shoes,1,439.13,483.043,43.913
72,ARLINGTON,Virginia,5491,2025-03-18 08:17:00,Cycling Shoes,1,748.13,822.943,74.813
7139,KANSAS CITY,Missouri,2738,2025-03-24 18:10:00,Cycling Shoes,1,525.53,578.083,52.553
7299,SAN JOSE,California,5579,2025-03-24 20:44:00,Cycling Shoes,1,799.93,879.923,79.993
7317,NEWTON,Massachusetts,5688,2025-03-24 21:05:00,Cycling Shoes,1,498.13,547.943,49.813
1316,JERSEY CITY,New Jersey,4884,2025-03-19 12:52:00,Cycling Shoes,1,486.33,534.963,48.633
3432,JACKSONVILLE,Florida,2236,2025-03-21 11:52:00,Cycling Shoes,1,495.13,544.643,49.513
3588,LANSING,Michigan,68,2025-03-21 14:08:00,Cycling Shoes,1,633.13,696.443,63.313
4103,SALT LAKE CITY,Utah,4920,2025-03-21 23:00:00,Cycling Shoes,1,467.13,513.843,46.713
5568,PORTLAND,Oregon,6350,2025-03-23 12:30:00,Cycling Shoes,1,593.13,652.443,59.313
6015,LAS VEGAS,Nevada,1071,2025-03-23 20:07:00,Cycling Shoes,1,467.13,513.843,46.713
6027,HOUSTON,Texas,2352,2025-03-23 20:17:00,Cycling Shoes,1,545.13,599.643,54.513
486,DALLAS,Texas,2556,2025-03-18 14:27:00,Cycling Shoes,1,679.13,747.043,67.913
4096,HUNTINGTON,West Virginia,5371,2025-03-21 22:54:00,Cycling Shoes,1,538.33,592.163,53.833
904,OKLAHOMA CITY,Oklahoma,2921,2025-03-18 22:44:00,Cycling Shoes,1,467.13,513.843,46.713
1672,FORT LAUDERDALE,Florida,5518,2025-03-19 17:13:00,Cycling Shoes,1,495.13,544.643,49.513
3763,ORANGE,California,4648,2025-03-21 16:50:00,Cycling Shoes,1,467.13,513.843,46.713
1305,MIAMI,Florida,502,2025-03-19 12:39:00,Cycling Shoes,1,551.93,607.123,55.193
3450,GRAND RAPIDS,Michigan,3368,2025-03-21 12:13:00,Cycling Shoes,1,547.13,601.843,54.713
245,WASHINGTON,District of Columbia,3012,2025-03-18 11:21:00,Cycling Shoes,1,495.13,544.643,49.513
1298,CHARLESTON,West Virginia,802,2025-03-19 12:36:00,Cycling Shoes,1,643.13,707.443,64.313
5140,DAVENPORT,Iowa,5289,2025-03-22 20:37:00,Cycling Shoes,1,643.13,707.443,64.313
5279,CHARLOTTE,North Carolina,660,2025-03-22 23:53:00,Cycling Shoes,1,481.53,529.683,48.153
5534,TRENTON,New Jersey,944,2025-03-23 12:08:00,Cycling Shoes,1,523.93,576.323,52.393
4271,HARTFORD,Connecticut,732,2025-03-22 09:02:00,Cycling Shoes,1,467.13,513.843,46.713
6196,OMAHA,Nebraska,3213,2025-03-23 23:04:00,Cycling Shoes,2,937.13,1030.843,93.713
548,EL PASO,Texas,3934,2025-03-18 15:23:00,Cycling Shoes,1,495.13,544.643,49.513
5175,GAINESVILLE,Florida,5486,2025-03-22 21:15:00,Cycling Shoes,1,525.13,577.643,52.513
5955,RICHMOND,Virginia,4932,2025-03-23 18:58:00,Cycling Shoes,1,515.13,566.643,51.513
2344,PITTSBURGH,Pennsylvania,3588,2025-03-20 12:09:00,Cycling Shoes,1,483.93,532.323,48.393
4683,HAGERSTOWN,Maryland,6282,2025-03-22 13:46:00,Cycling Shoes,1,687.93,756.723,68.793
121,GARLAND,Texas,988,2025-03-18 09:38:00,Cycling Shoes,1,492.73,542.003,49.273
4229,ARLINGTON,Texas,4758,2025-03-22 08:32:00,Cycling Shoes,1,515.13,566.643,51.513
1150,SHREVEPORT,Louisiana,5648,2025-03-19 10:53:00,Cycling Shoes,1,633.13,696.443,63.313
1474,PASADENA,California,3719,2025-03-19 14:54:00,Cycling Shoes,1,467.13,513.843,46.713
693,SIOUX FALLS,South Dakota,1161,2025-03-18 17:41:00,Walking Shoes,1,467.13,513.843,46.713
857,FRESNO,California,5231,2025-03-18 21:22:00,Walking Shoes,1,467.13,513.843,46.713
5594,BIRMINGHAM,Alabama,6082,2025-03-23 12:50:00,Walking Shoes,1,583.13,641.443,58.313
3545,NEW YORK CITY,New York,3126,2025-03-21 13:38:00,Walking Shoes,1,663.13,729.443,66.313
6986,TAMPA,Florida,5717,2025-03-24 15:52:00,Walking Shoes,1,467.13,513.843,46.713
93,WASHINGTON,District of Columbia,149,2025-03-18 09:03:00,Walking Shoes,1,565.13,621.643,56.513
4165,OKLAHOMA CITY,Oklahoma,1473,2025-03-22 03:52:00,Walking Shoes,1,467.13,513.843,46.713
5097,CHARLESTON,West Virginia,3699,2025-03-22 20:01:00,Walking Shoes,1,525.13,577.643,52.513
5194,HAMILTON,Ohio,5808,2025-03-22 21:35:00,Walking Shoes,1,467.13,513.843,46.713
2775,BROOKSVILLE,Florida,6012,2025-03-20 17:45:00,Walking Shoes,1,570.33,627.363,57.033
5422,BRYAN,Texas,3672,2025-03-23 09:53:00,Walking Shoes,1,490.73,539.803,49.073
5009,WASHINGTON,District of Columbia,1687,2025-03-22 18:45:00,Walking Shoes,1,467.13,513.843,46.713
2637,WASHINGTON,District of Columbia,519,2025-03-20 15:53:00,Walking Shoes,1,503.63,553.993,50.363
19,COLUMBUS,Ohio,2033,2025-03-18 01:09:00,Walking Shoes,1,731.13,804.243,73.113
875,MIGRATE,Kentucky,4140,2025-03-18 21:50:00,Walking Shoes,1,515.93,567.523,51.593
6070,INDEPENDENCE,Missouri,5781,2025-03-23 20:55:00,Walking Shoes,1,467.13,513.843,46.713
6153,JACKSONVILLE,Florida,3143,2025-03-23 22:02:00,Walking Shoes,1,467.13,513.843,46.713
6182,ROCHESTER,New York,2432,2025-03-23 22:45:00,Walking Shoes,1,467.13,513.843,46.713
5951,MEMPHIS,Tennessee,1857,2025-03-23 18:48:00,Walking Shoes,1,464.33,510.763,46.433
660,MONTGOMERY,Alabama,2793,2025-03-18 17:06:00,Walking Shoes,1,461.53,507.683,46.153
1556,JACKSON,Mississippi,389,2025-03-19 16:00:00,Walking Shoes,1,564.13,620.543,56.413
5641,SPRINGFIELD,Massachusetts,377,2025-03-23 13:32:00,Walking Shoes,1,545.13,599.643,54.513
1309,BUFFALO,New York,6106,2025-03-19 12:40:00,Walking Shoes,1,555.13,610.643,55.513
5293,MONTICELLO,Minnesota,5594,2025-03-23 00:25:00,Walking Shoes,1,663.13,729.443,66.313
6533,HERNDON,Virginia,4040,2025-03-24 10:35:00,Jackets,1,833.13,916.443,83.313
379,EUGENE,Oregon,5246,2025-03-18 13:10:00,Jackets,1,597.53,657.283,59.753
2909,LAREDO,Texas,962,2025-03-20 19:23:00,Jackets,1,893.13,982.443,89.313
1873,HAMILTON,Ohio,1355,2025-03-19 20:01:00,Jackets,1,816.73,898.403,81.673
1352,FORT WAYNE,Indiana,5489,2025-03-19 13:16:00,Gift Card,1,464.13,510.543,46.413
103,MINNEAPOLIS,Minnesota,60,2025-03-18 09:14:00,Gift Card,1,464.13,510.543,46.413
2345,BOSTON,Massachusetts,4423,2025-03-20 12:09:00,Gift Card,1,464.13,510.543,46.413
1954,DALLAS,Texas,159,2025-03-19 21:45:00,Gift Card,1,464.13,510.543,46.413
6679,CHARLESTON,West Virginia,4145,2025-03-24 12:03:00,Gift Card,1,489.13,538.043,48.913
4734,SAN ANTONIO,Texas,323,2025-03-22 14:28:00,Gift Card,1,489.13,538.043,48.913
5866,LONG BEACH,California,1180,2025-03-23 17:13:00,Gift Card,1,489.13,538.043,48.913
3069,OKLAHOMA CITY,Oklahoma,5443,2025-03-20 21:38:00,Gift Card,1,489.13,538.043,48.913
6172,JEFFERSON CITY,Missouri,3812,2025-03-23 22:23:00,Gift Card,1,489.13,538.043,48.913
449,DAYTON,Ohio,5430,2025-03-18 13:58:00,Gift Card,1,489.13,538.043,48.913
812,AUSTIN,Texas,5468,2025-03-18 20:34:00,Gift Card,1,489.13,538.043,48.913
5553,PLANO,Texas,3592,2025-03-23 12:24:00,Gift Card,1,489.13,538.043,48.913
6135,LOS ANGELES,California,1339,2025-03-23 21:47:00,Gift Card,1,489.13,538.043,48.913
6186,FORT LAUDERDALE,Florida,2398,2025-03-23 22:52:00,Gift Card,1,489.13,538.043,48.913
3589,SAN LUIS OBISPO,California,2067,2025-03-21 14:08:00,Gift Card,1,489.13,538.043,48.913
679,DETROIT,Michigan,3249,2025-03-18 17:27:00,Gift Card,1,489.13,538.043,48.913
42,AUSTIN,Texas,1187,2025-03-18 07:03:00,Gift Card,1,489.13,538.043,48.913
5453,PALM BAY,Florida,4130,2025-03-23 10:19:00,Gift Card,1,489.13,538.043,48.913
4727,RALEIGH,North Carolina,2688,2025-03-22 14:23:00,Gift Card,1,489.13,538.043,48.913
